PS|NPS|SNPS|P_STR|P_KAN|POZNAMKA
1|Slovenská ľudová strana Andreja Hlinku|Slovenská ľudová strana (SĽS)|1|39|
2|DOBRÁ VOĽBA|DOBRÁ VOĽBA|1|150|
3|Sloboda a Solidarita|SaS|1|149|
4|SME RODINA|SME RODINA|1|150|
5|Slovenské Hnutie Obrody|Slovenské Hnutie Obrody|1|25|
6|ZA ĽUDÍ|ZA ĽUDÍ|1|150|
7|MÁME TOHO DOSŤ !|MÁME TOHO DOSŤ !|1|71|
8|Hlas pravice|Hlas pravice|1|41|X
9|Slovenská národná strana|SNS|1|150|
10|Demokratická strana|DS|1|150|
11|OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA|OĽANO-NOVA-KÚ-ZMENA ZDOLA|1|150|
12|Koalícia Progresívne Slovensko a SPOLU - občianska demokracia|Koalícia Progresívne Slovensko a SPOLU - občianska demokracia|2|150|
13|STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI|STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI|1|95|
14|99 % - občiansky hlas|99 % - občiansky hlas|1|33|
15|Kresťanskodemokratické hnutie|KDH|1|150|
16|Slovenská liga|Slovenská liga|1|74|
17|VLASŤ|VLASŤ|1|149|
18|MOST - HÍD|MOST - HÍD|1|150|
19|SMER - sociálna demokracia|SMER - SD|1|150|
20|SOLIDARITA - Hnutie pracujúcej chudoby|SOLIDARITA - Hnutie pracujúcej chudoby|1|80|
21|HLAS ĽUDU|HLAS ĽUDU|1|17|
22|Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť|Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť|1|150|
23|Práca slovenského národa|PSN|1|13|
24|Kotlebovci - Ľudová strana Naše Slovensko|ĽS Naše Slovensko|1|150|
25|Socialisti.sk|Socialisti.sk|1|150|
